Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
Not explicitly mentioned,"Ngang 4,5m dài 12m Tổng DTXD lên đến 200m2","Phan Huy Ích, P 14 Quận Gò Vấp.TP.HCM",4,4,3 lầu,"phòng xông hơi,Logia thoáng,sân thượng trước sau",Phan Huy Ích,P 14,Quận Gò Vấp,3,Not explicitly mentioned,255191
"5,1 tỷ VND","4,4x15 m2","Nguyễn Văn Lượng, Gò Vấp",2,2,2,"Chợ, trường học, siêu thị, bệnh viện Gò Vấp, Lotte, Cityland",Nguyễn Văn Lượng,P16 Gò Vấp,Gò Vấp,Not mentioned,"Hẻm sạch sẽ, xe hơi vào tới nhà, an ninh",255190
4.x tỉ,70m2,Gần Aeon mall,Not mentioned,Not mentioned,Not mentioned,"Nhà nở hậu, không lỗi phong thủy, Hẻm ô tô, xe 7 chỗ vào nhà, khu an ninh, Hẻm yên tĩnh, Thuận tiện Kinh Doanh, Mua Bán",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Hẻm,255189
400 triệu,"Diện tích đất XD: 60 m2, tổng mặt sàn 90m2","Chưa có địa chỉ cụ thể, nhưng nhà cách chợ và trường học khoảng 500m",2,2,1 trệt 1 lửng,"Giao thông đi các hướng thuận tiện, hẻm 5m, cơ sở hạ tầng hoàn thiện, Đồng hồ Điện nước máy riêng",Chưa có,Chưa có,Chưa có,Chưa có,Nhà trong hẻm,255188
5.x tỷ,Not mentioned in the listing,"Cách Mạng Tháng Tám, Quận 10",3,"Not explicitly mentioned, but each bedroom has an en-suite bathroom",4,"Hẻm xe hơi thông khắp nẻo, ngay Trung Tâm Q10",Cách Mạng Tháng Tám,Not mentioned in the listing,Quận 10,Not mentioned in the listing,"Not explicitly mentioned, but the listing suggests that the house is located in an alley",255187
"8,8 tỷ VND","84m2 ( 8,4m x 10m )","Đường Hoàng Diệu 2, Phường Linh Chiểu, TP Thủ Đức",4,4,1 trệt 1 lầu,"SPA và chụp hình cưới, vị trí đẹp để mở VPCT",Hoàng Diệu 2,Linh Chiểu,Thủ Đức,7m,ngay cổng sau trường ĐHSP,255185
2.150 tỷ,4x12 (48m2),"184 Lưu Hữu Phước, phường 15, quận 8",4,3,1 trệt 2 lầu,"gần với phòng khám bác sỹ Trần Nam Trung, gần với nhà may Tâm, gần với Công Ty TMDV xây dựng Cơ khí, các dịch vụ tiện ích xung quanh như các của hàng tiện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Lưu Hữu Phước,phường 15,quận 8,1,nhà trong hẻm,255184
6 Tỷ,70m2 (5.1m x 14m),"Bán MTKD đường PHAN VĂN NĂM,TÂN PHÚ",3,3,"1 trệt, lầu",BTCT kiên cố chắc chắn,PHAN VĂN NĂM,Tân Phú,Tân Phú,5.1m,Nhà ngoài lộ,255183
Giá không được cung cấp trong nội dung,42.5 m2,"Hẻm ô tô đổ cửa, Nguyễn Tuân, Phường 3, Gò Vấp",Số phòng ngủ không được cung cấp trong nội dung,Số phòng tắm không được cung cấp trong nội dung,Số tầng không được cung cấp trong nội dung,"Khu vực trung tâm, Bệnh viện 175, khu vực toàn cán bộ nhà nước",Nguyễn Tuân,Phường 3,Gò Vấp,20m,Nhà trong hẻm,255181
4 tỷ VND,110 m2,"Hẻm xe hơi tránh 6 mét, gần mặt tiền đường Ao Đôi, Bình Tân",Not specified,Not specified,2,Sổ đẹp không lộ giới & quy hoạch,Đường Ao Đôi,Not specified,Bình Tân,Not specified,Nhà trong hẻm,255226
5 tỷ 8 triệu (giảm 5 tỷ 3 triệu),Not mentioned,"1 xẹc Thống Nhất, P15 Gò Vấp",Not mentioned,Not mentioned,4 lầu,full nội thất cao cấp,Thống Nhất,Not mentioned,Gò Vấp,2,Nhà trong hẻm,255178
365 triệu VND,"55 m2 (đất xây dựng), tổng mặt sàn 90m2 và hành lang sân hơn 10m2",Vị trí đắc địa (địa chỉ chưa cung cấp),2 phòng ngủ,2 nhà vệ sinh,Chưa cung cấp,"Đồng hồ điện nước máy riêng, phòng bếp, phòng khách, phòng thờ, sân để xe",Chưa cung cấp,Chưa cung cấp,Chưa cung cấp,Chưa cung cấp,Chưa cung cấp,255225
"3,4 tỷ VND",106 m2,"Tân Chánh Hiệp, Quận 12, gần CVPM Quang Trung",Not specified,Not specified,Not specified,"Hẻm xe hơi, tiện ích đủ đầy",Not specified,Tân Chánh Hiệp,Quận 12,Not specified,Nhà trong hẻm,255223
"10,5 tỷ VND",108m2,"Lê Quang Định, P24, Bình Thạnh",5,5,3,"Tiện làm vp, chdv, cho thuê nhà",Lê Quang Định,P24,Bình Thạnh,Not specified,Not specified,255220
4 tỷ,110m2,"Hương Lộ 2, Bình Tân",Not specified,Not specified,2,"Near Ao Đôi street, friendly neighborhood, clean alley",Ao Đôi,Not specified,Bình Tân,Not specified,Alley,255212
"7,8 tỷ VND",73m2,"Ngã tư Bảy Hiền, Phường 12, Tân Bình",4,1,3,"trường học các cấp, chợ, bệnh viện Thống Nhất, siêu thị, hẻm ô tô đậu ngày đêm, bãi giữ xe an toàn",Ngã tư Bảy Hiền,Phường 12,Tân Bình,Not mentioned,Hẻm,255199
4 tỷ 1,"100,8 m2 (Ngang 4,2 x Dài 24)","Hẻm Xe hơi Thành Thái, Phường 14, Quận 10",3,2,1 trệt 2 lầu,"Nội thất đầy đủ, gần như mới, trung tâm, bệnh viện 115, trường ĐH y khoa Phạm Ngọc Thạch",Hẻm Xe hơi Thành Thái,Phường 14,Quận 10,Not specified,Nhà trong hẻm,255197
7 tỷ VND,100m,"Đường Nguyễn Duy Cung, khu kinh doanh buôn bán sầm uất, khu vực đang xây 4-5 tấm",Not specified,Not specified,Not specified,Not specified,Nguyễn Duy Cung,Not specified,Not specified,102,Mặt tiền kinh doanh,255195
"28,5 tỷ","94,4m2","62 Trần Văn Kỷ, phường 14, Bình Thạnh",Not specified,Not specified,1 trệt 6 lầu,Not specified,Trần Văn Kỷ,Phường 14,Bình Thạnh,1,Ngoài lộ,255177
12 tỷ VND,5.2m x 20m,"ngã 4 Bảy Hiền, Lạc Long Quân, Trường Chinh, Khu Bàu Cát",Not mentioned,Not mentioned,4 tầng,"Tiện ích đầy đủ, giao thông thuận lợi",Bảy Hiền,Not mentioned,Not mentioned,5.2m,Nhà về ở ngay,255152
2.550 tỷ,60m2 (4x15),"Phường Bình Trị Đông B, quận Bình Tân, hẻm 621 Tỉnh Lộ",4,3,2,"Gần cửa hàng mỹ phẩm Hasaki, gần cửa hàng siêu thị mẹ và bé Con Cưng, gần nha khoa Việt Mỹ, gần cửa hàng phụ tùng Cường Linh, gần cửa hàng FPT, gần chợ, các dịch vụ tiện ích xung quanh như của hàng tiện lợi, gần bách hóa xanh, các cửa hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Tỉnh Lộ,Bình Trị Đông B,Bình Tân,1,Nhà trong hẻm,255148
"9,5 tỷ",60m2 (4.5mx13.6m),"Chợ Thạch Đà Phạm Văn Chiêu, tuyến đường Lê Văn Thọ, Lê Đức Thọ",4,6,5,"Gara để xe, phòng khách, phòng bếp, phòng xông hơi, nội thất cao cấp",Thạch Đà Phạm Văn Chiêu,Not mentioned,Not mentioned,Not mentioned,"Hẻm 5m, ô tô ngủ trong nhà",255145
"9,85 tỷ","72m2 (Ngang4,2/6,3m, Dài 14m)","P.14, Gò Vấp",4,5,5,"thang máy, toàn bộ nội thất xịn, sân thượng trước sau",Not mentioned,Not mentioned,Gò Vấp,Not mentioned,Hẻm xe hơi,255142
Hơn 8 tỷ,55m2 (4/4.1mx14m),"Gò Vấp, ngay chợ Thạch Đà Phạm Văn Chiêu, tuyến đường Lê Văn Thọ, Lê Đức Thọ",4,6,5,"Gara để xe, phòng khách, phòng bếp, phòng xông hơi, nội thất cao cấp",Phạm Văn Chiêu,Not mentioned,Gò Vấp,Not mentioned,"Hẻm 6m, nhà trong hẻm",255141
22.5 tỷ,79m2,222 Bạch Đằng phường 24 Bình Thạnh,Not specified,Not specified,4,Not specified,Bạch Đằng,Phường 24,Bình Thạnh,1,Ngoài lộ,255140
1.65 tỷ,33m2 (3x11),"Tạ Quang Bửu, phường 3, quận 8",2,2,1,"phòng khách, bếp",Tạ Quang Bửu,phường 3,quận 8,Not mentioned,nhà hẻm,255131
8.5 tỷ VND,106m2 (4x26),"Đường 475, Phước Long B, Quận 9, TP. Hồ Chí Minh",3,2,2,"Pháp lý chuẩn, sổ hồng riêng",Đường 475,Phước Long B,Quận 9,1,Ngoài lộ,255130
6.4 tỷ,62m2,"Phường 14, ngay gần mặt tiền Quang Trung, sát khúc ngã tư Phan Huy Ích.",3,4,1 trệt 1 lửng 2 lầu đúc,"Phòng thờ, bếp có giếng trời, ban công sân thượng, sân để xe",Quang Trung,Phường 14,Không rõ,Không rõ,Nhà nằm trong hẻm,255129
14 tỷ,84m2,Phường 14 Gò Vấp,6,6,4,"Nội thất cao cấp, gần hai chung cư lớn, khu dân cư phát triển toàn nhà cao tầng, tiện đi sân bay, thuận tiện đi thông qua các con đường lớn Quang Trung, Thống Nhất, Nguyễn Văn Lượng, Lê Văn Thọ, Lê Đức Thọ, Tân Sơn, tiện đi các khu vui chơi giải trí như Làng Hoa Gò Vấp, tiện đi khu công nghiệp Tân Bình, thuận tiện đi các quận 12, quận Tân Phú, Tân Bình, Bình Thạnh",Not mentioned,Phường 14,Gò Vấp,Not mentioned,Not mentioned,255128
10 tỷ VND,Not specified in the text,"Hẻm 373 Lý Thường Kiệt, sát Quận 10",4,Not specified in the text,5,"Sổ hồng riêng chính chủ, hoàn công đầy đủ",Lý Thường Kiệt,Not specified in the text,Quận 10,Not specified in the text,Nhà trong hẻm,255170
7.4 tỷ VND,"59m2 (4,2 x 14m)",Phường 13 Gò Vấp,5,6,5,"1 phòng thờ, 1K, 1B, sân để xe, chuồng cu",Lê Đức Thọ,Phường 13,Gò Vấp,7m,Nhà trong hẻm,255114
8 tỷ,"70m2 (Ngang 5m, dài 14m.)","Phường 11, Gò Vấp, Hồ Chí Minh",4,5,5,"2 chiếc ô tô ngủ trong nhà, hai mặt hẻm trước sau thoáng mát, cách mặt tiền Quang Trung 150m, Đối diện chợ Hạnh Thông Tây, Giáo Xứ Hạnh Thông Tây, nhiều Ngân hàng, Trường học...",Quang Trung,Phường 11,Gò Vấp,2,Nhà trong hẻm,255167
"2,9 tỷ",30m2,"hẻm thông Bà Hom, gần Kênh Tân Hoá, Hồng Bàng, Bình Tân",2,2,2,"gần mặt tiền đường, gần chợ Phú Lâm, trường học các cấp, tiện ích không thiếu",Bà Hom,Tân Hoà Đông,Bình Tân,Not specified,Alley,255166
10.5 tỷ,47/60m,"Quận 5, An Dương Vương P4",7,7,4,"Hẻm xe hơi sạch đẹp, Nhà mới đẹp, Lô góc, Vươn ban công, Cửa sổ đẹp",An Dương Vương,P4,Quận 5,3.7/4.6 x 12m,Nhà trong hẻm,255162
1.71 tỷ,38.5m2 (3.5x11),"hẻm Lê Văn Lương, phường Tân Kiểng, quận 7",2,2,Not mentioned,"Tiệm cận THCS Trần Quốc Tuấn, chợ tự phát, ngân hàng",Lê Văn Lương,Tân Kiểng,Quận 7,Not mentioned,Nhà trong hẻm,255158
5.4 tỷ,33m2 (3.7 x 9),"Cách Mạng Tháng 8, Phường 12, Quận 10",2,2,3,"Hẻm thông tứ hướng, Khu vực an ninh yên tĩnh, dân trí, nhà xây dựng đồng đều",Cách Mạng Tháng 8,Phường 12,Quận 10,Not mentioned,Hẻm,255157
430 triệu,3x6 m2,"Phường An Phú Đông, Quận 12",1,1,Not mentioned,Có gác lửng,Đường Vườn Lài,An Phú Đông,Quận 12,Not mentioned,Not mentioned,255155
2.4 tỷ,40m2 (3.2x12.5),"nhà hẻm đường Lê Quang Định, phường 7, Bình Thạnh",2,2,1 trệt 1 lầu,"TT học tập cộng đồng, ngân hàng, cửa hàng tiện lợi,... Khu vực an ninh, sầm uất, có camera giám sát",Lê Quang Định,phường 7,Bình Thạnh,Not mentioned,nhà trong hẻm,255153
"4,5 tỷ VND",85m2 (5m x 17m),"Đường Hiệp Bình, Thủ Đức",Not specified,Not specified,2,"Near Chợ Hiệp Bình, 500m to Phạm Văn Đồng",Hiệp Bình,"Phường Linh Đông, Tam Bình, Hiệp Bình Phước",Thủ Đức,20m,Ngoài lộ,255110
14 tỷ,68m2 (DTSD: 136 m2),"Hẻm 3m, đường CMT8, khu trung tâm Q3",Not specified,Not specified,1 trệt 1 lầu,"buôn bán, cho thuê phòng trọ",CMT8,Not specified,Quận 3,Not specified,nhà trong hẻm,255090
9.9 tỷ,60m2,"Hẻm Xe Hơi Lê Đức Thọ, Gò Vấp",5,6,6,"phòng khách, phòng thờ, phòng xông hơi, sân thượng",Lê Đức Thọ,not mentioned,Gò Vấp,not mentioned,nhà trong hẻm,255085
1.85 tỷ VND,42 m2 (3.5x12m),"Nguyễn Thiện Thuật, P24, Bình Thạnh",2,2,1 trệt 1 lầu,"Nhà mới, đồ cao cấp xịn xò",Nguyễn Thiện Thuật,P24,Bình Thạnh,2,Nhà trong hẻm,255078
1.73 tỷ,35m2 (3.5x10m),"Nguyễn Khoái, phường 2, quận 4",2,2,Not mentioned,"Near THCS Nguyễn Huệ, convenient stores, post office, local police station",Nguyễn Khoái,Phường 2,Quận 4,4m,Hẻm,255069
5 tỷ 4 TL,72m,đường Huỳnh Văn Nghệ,not specified,not specified,2,Hẻm xe hơi 4m,Huỳnh Văn Nghệ,not specified,not specified,not specified,Hẻm xe hơi,255068
5.5 tỷ VND,"38m (not a full area description, but the only number provided)","Cao Thắng, Quận 10 (not a full address, but the only location provided)",Not provided,Not provided,4,"Sân thượng, nội thất đầy đủ, gác mái, cổng trước nhà, khu an ninh",Cao Thắng,Not provided,Quận 10,Not provided,Nhà trong hẻm,255066
2.5 tỷ VND,30 m2 (3x10),"hẻm đường Nơ Trang Long, phường 13, quận Bình Thạnh",2,2,1 trệt 1 lầu,"trường tiểu học Bình Lợi Trung, chùa, quán ăn, văn phòng công ty",Nơ Trang Long,phường 13,quận Bình Thạnh,Not mentioned,hẻm,255060
3 tỷ VND,17m2,"Đường Trần Đình Xu, Trung tâm Quận 1",2,3,3,"Phòng khách, bếp, ban công riêng, nội thất, bàn ghế, Bếp, điều hoà, Máy nước nóng lạnh",Trần Đình Xu,Not mentioned,Quận 1,Not mentioned,Not mentioned,255059
7.05 tỷ,4m x 14 (56m2),"Phường 12, Gò Vấp",4,5,4,"PK, P bếp, Phòng thờ, Phòng giặt ủi, phòng tập thể dục, nội thất nhập khẩu, ti vi, tủ lạnh đời mới, máy lạnh daikin tiết kiệm điện, máy nước uống, giường tủ nhập khẩu, máy chạy bộ",Not mentioned,Phường 12,Gò Vấp,Not mentioned,Hẻm xe hơi,255058
1.9 tỷ VND,Not specified in the listing,"Quang Trung P12, Gò Vấp",1,2,2,"Mới xinh ấm cúng, sát hẻm xe hơi, khu an ninh",Not specified in the listing,Quang Trung,Gò Vấp,Not specified in the listing,Hẻm nội bộ,255057
2 tỷ VND,3.4x 4.7 nở hậu 3.6m,"Bình Tiên, Quận 6",2,2,3,Khách bếp,Bình Tiên,Not mentioned,Quận 6,2,Nhà trong hẻm,255108
4 tỷ VND,110m2,"Phan Anh, Giáp Hòa Bình Tân Phú",2,2,2,"Gần chợ Phan Anh, phù hợp mở văn phòng đại diện kinh doanh",Phan Anh,Not mentioned,Giáp Hòa Bình Tân Phú,2,Ngoài lộ,255056
11 tỷ,"DTS: 250m2, 60m2 (ngang 4m, dài 15m)","Lê Văn Sỹ, Phường 12, Quận 3",8,Not mentioned,5,"Chợ, Siêu thị, nhà thờ Vườn Xoài, Trường học các cấp",Lê Văn Sỹ,Phường 12,Quận 3,Not mentioned,Hẻm xe tải nhựa 6m,255105
4 tỷ VND,110m2,Phan Anh Binh Tan-Giap Hoa Binh Tan Phu,2,2,2,Không có thông tin,Phan Anh,Không có thông tin,Tân Phú,2,Ngoài lộ,255104
"6,66 tỷ",52m2,"HXH Lê Đức Thọ, G Vấp",4,5,5,"ô tô vào nhà, sạch sẽ, an ninh, yên tĩnh, nội thất cao cấp",Lê Đức Thọ,Not mentioned,Gò Vấp,Not mentioned,Nhà trong hẻm,255103
4 tỷ 4 TL,60m,Nguyễn Tư Giản,3,Not mentioned,2,"Khu an ninh yên tĩnh, hàng xóm thân thiện, Hẻm xe thông tứ tung",Nguyễn Tư Giản,Not mentioned,Not mentioned,Not mentioned,Hẻm,255102
10.1 tỷ,65m2,"Hẻm xe hơi tránh nhau Phạm Văn Chiêu, P.9 Gò Vấp",4,5,5,"2 phòng xông hơi, 1 phòng thờ, Garage ô tô",Phạm Văn Chiêu,P.9 Gò Vấp,Gò Vấp,4x16,Nhà trong hẻm,255101
1.8 tỷ,39m2 (3x13),"hẻm đường Trần Xuân Soạn, phường Tân Hưng, quận 7",2,2,Not mentioned,"nhà thuốc, chùa Kiều Đàm, trung tâm sửa chữa xe, nhiều công ty văn phòng",Trần Xuân Soạn,Tân Hưng,Quận 7,Not mentioned,Nhà trong hẻm,255099
2.43 tỷ VND,44.8m2,"Hẻm đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7",2,2,2,sân thượng,Phạm Hữu Lầu,Phú Mỹ,Quận 7,Not mentioned,Alley,255096
6 tỷ,50m2,"CMT8, Phường 7, Tân Bình",3,2,4,"Siêu thị, chợ vải Tân Bình, Bệnh Viện Thống Nhất, trường học các cấp, khu phường 7 sầm uất",CMT8,Phường 7,Tân Bình,8m,Ngoài lộ,255055
6.7 tỷ VND,52m2 (4mx13m),"Lê Quang Định, Phường 11, Bình Thạnh",4,5,4,"Trường học, bệnh viện, siêu thị",Lê Quang Định,Phường 11,Bình Thạnh,Not specified,Near main road,255025
Not mentioned in the listing,"175m2 (used area), 163m2 (recognized area)","175-163, Kha Vạn Cân Street, Linh Trung Ward, Thủ Đức District, Thủ Đức City",Not mentioned in the listing,Not mentioned in the listing,Not mentioned in the listing,Not mentioned in the listing,Kha Vạn Cân,Linh Trung,Thủ Đức,"12.5m (width), 13.5m (length)",Not mentioned in the listing,255022
10 tỷ VND,Not specified in the text,"373 Lý Thường Kiệt, near the main road",Not specified in the text,Not specified in the text,5,"Near main road, secure area, high population density, near District 10, District 3, District 1, Bắc Hải, Thành Thái, Ba tháng hii",Lý Thường Kiệt,Not specified in the text,"District 10, District 3, District 1, Bắc Hải, Thành Thái, Ba tháng hii",Not specified in the text,Near main road,255017
"3,65 tỷ",40m2,"Bình Long, Tân Phú",2,2,1trệt + lầu,"ban công, bếp, phòng khách","Thoại Ngọc Hâu, Trần Quang Cơ",Bình Long,Tân Phú,Not specified,"Nhà gần ngã 4 Bốn Xã, hẻm nhà",255013
"11,8 tỉ",71m2,"Khu an ninh dân trí cao, giáp quận 10, quận 11, Lạc Long Quân, Tân Bình",5,Not mentioned,5,"Nội thất cao cấp, sân thượng, ban công, tiện ích vây quanh",Lạc Long Quân,Not mentioned,Tân Bình,Not mentioned,Nhà trong hẻm,255010
7.05 tỷ,4m x 14 (56m2),"Phường 12, Gò Vấp",4,5,4,"PK, P bếp, Phòng thờ, Phòng giặt ủi, phòng tập thể dục, toàn bộ nội thất nhập khẩu, ti vi, tủ lạnh đời mới , máy lạnh daikin tiết kiệm điện, máy nước uống, giường tủ nhập khẩu, máy chạy bộ",Not mentioned,Phường 12,Gò Vấp,Not mentioned,Hẻm xe hơi vào nhà,255007
9.5 tỷ VND,163m2,"Giáp Q10, Q3 gần CV Lê Thị Riêng",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Q10 and Q3,4.2,Hẻm thông thoáng,255004
19 tỷ,"126m29, công nhận 94m2 ( Ngang 4.2m, Dài 30m )","Mặt tiền Phạm Văn Chiêu, P.9 Gò Vấp",3,2,2,"Sân trước rộng mặt tiền, Sân sau rộng 5m",Phạm Văn Chiêu,Phường 9,Gò Vấp,1,Ngoài lộ,255001
"5,95 tỷ",47m2,"HXH Phạm Văn Chiêu, Gò Vấp",4,4,3,"Sát cạnh siêu thị, trường học, chợ, bệnh viện, trung tâm thương mai",Phạm Văn Chiêu,Gò Vấp,Gò Vấp,5m,Hẻm,255000
4.2 tỷ VND,160m2,"HXH Huong Lo 2, Binh Tan, Khu vuc ngay ngã 4 Bốn Xã",3,2,3,"Hẻm ô tô, gần chợ, tiện ích đầy đủ",Huong Lo,Binh Tan,N/A,N/A,Nhà trong hẻm,254999
2.150 tỷ,4x12 (48m2),"28 Lương Văn Can, Phường 15, Quận 8",4,3,1 trệt 2 lầu,"Cửa hàng di động Anh Tú, Tiện chụp ảnh Thế Phương, Nhà thuốc Mộc An, Trung tâm dịch vụ khách hàng Mobifone, Phòng khám khoa nội tổng quát bác sĩ Đỗ Văn Khoa, Chợ, Bách hóa xanh, Các của hàng buôn bán thời trang, Các dịch vụ chăm sóc sức khỏe và làm đẹp",Lương Văn Can,Phường 15,Quận 8,28,Nhà trong hẻm,255052
"9,1 tỷ VND",6x20 m2,"Đinh Bộ Lĩnh, Bình Thạnh",5,5,3,"Vip, ST, tiện làm vp, chdv, cho thuê nhà",Đinh Bộ Lĩnh,Bình Thạnh,Bình Thạnh,Not mentioned,Not mentioned,254997
2.150 tỷ,48m2,"428 Chiến Lược, phường Tân Tạo, quận Bình Tân",4,3,2,"Gần với công ty Bất Động Sản Phù Sa, gần với cửa hàng in ấn túi giấy, gần với cửa hàng vật liệu gia dụng Sắc Lộc, gần cửa hàng vật nuôi Hamster Sunny, cách mặt tiền đường Chiến Lược tầm 300m, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, có các dịch vụ tiện ích xung quanh như của hàng tện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp, khu vực xung quanh cao ráo không lo ngập lụt trong mùa mưa, an ninh dân trí cao",Chiến Lược,Tân Tạo,Bình Tân,Not mentioned,Nhà trong hẻm,255049
4.4 tỷ VND,66m2 (5.5x12),"đường số 8, P.Tăng Nhơn Phú A",2,1,"1 trệt, 1 lửng",Hẻm oto đỗ cửa,đường số 8,Tăng Nhơn Phú A,Not specified,20m,Nhà trong hẻm,255048
100 triệu/m2,gần 100m2,"Mặt tiền Phạm Phú Thứ, phường 11, Tân Bình, gần ngã 4 Bảy Hiền, khu VIP Bàu Cát",Not mentioned,Not mentioned,4 tầng,"Tiện ích đầy đủ, giao thông thuận lợi, giáp ngay quận 10, quận 3, công viên Lê Thị Riêng",Phạm Phú Thứ,Phường 11,Tân Bình,Not mentioned,Ngoài lộ,255046
9 tỷ,44 m2,"Mặt tiền Lê Hồng Phong, Quận 10, Sát vách Quận 1,3",2,Not specified,1,"Cho thuê khách dãi, văn phòng, cửa hàng",Lê Hồng Phong,Not specified,Quận 10,1,Ngoài lộ,255044
1.3 tỷ VND,38.5m2 (3.5x11),"nhà hẻm 122 đường Đoàn Văn Bơ, phường 18, quận 4",2,2,Not mentioned,"Near preschool, Ngọc Khánh temple, many restaurants, offices,... Dense residential area, safe",Đoàn Văn Bơ,Phường 18,Quận 4,Not mentioned,Hẻm,255043
14.7 tỷ,108m2,"Nở hậu + Thành Thái, Phường 14, Quận 10",5,Not specified,4,"Nội thất cao cấp, phòng khách, bếp rộng rãi, phòng làm việc, sân để xe",Nở hậu + Thành Thái,Phường 14,Quận 10,N4.3m (nở hậu 4.7m),Not specified,255038
7.93 tỷ,55m2,"Nằm trong khu nhà ở cao cấp Phạm Văn Chiêu, gần Trung tâm văn hóa Phường 13, cách ngã 4 Phạm Văn Chiêu Lê Văn Thọ vài bước",5,6,5,"Nội thất cao cấp, phòng thờ, giao thông thuận tiện",Phạm Văn Chiêu,Phường 13,Quận Gò Vấp,4,Hẻm,255030
1 tỷ 950,45m2 (4.5x10),"hẻm đường Nơ Trang Long, Bình Thạnh, Phường 11",3,3,2,"gần trung tâm y tế, siêu thị, ngân hàng,...",Nơ Trang Long,Phường 11,Bình Thạnh,Not mentioned,Alley,254996
"6,9 tỷ VND",98m2,"Đường Số, phường Hiệp Bình Chánh, TP Thủ Đức",6,Not specified,Not specified,"Dãy trọ cấp 4, đã cũ, khu vực hiếm nhà bán dưới 10 tỷ, hẻm xe tải, khuôn đất vuông vức, thích hợp xây ở, xây CHDV, Nhà trọ, kinh doanh các kiểu",Đường Số,Hiệp Bình Chánh,TP Thủ Đức,Not specified,Nhà trong hẻm,254951
4.05 tỷ,30m2,Gò Vấp,3,2,3,"Hẻm xe hơi thông, cách hẻm xe tải 3 căn, sạch sẽ đẹp đẽ",Not mentioned,Not mentioned,Gò Vấp,Not mentioned,Not mentioned,254950
11.8 tỷ VND,Not specified,"Lạc Long Quân, P.8",Not specified,Not specified,5,"Gần chợ Vải Tân Bình, tiện ích xung quanh không thiếu gì, rất thuận tiện đi vào các Quận trung tâm, qua sân bay chỉ vài phút",Lạc Long Quân,P.8,Quận 10,Not specified,Not specified,254949
6.7 Tỷ,52m2,"Hxh 4x13 Lê Quang Định, P11, Bình Thạnh",4,4,4,"Khu phân lô, dân trí cao, tiện ích đầy đủ 500m, tiện ra Phan Đăng Lưu, Phạm Văn Đồng",Lê Quang Định,Not specified,Bình Thạnh,Not specified,Not specified,254947
1 tỷ 950,45m2 (4.5x10),"Nơ Trang Long, Bình Thạnh, Phường 11",3,3,2,"gần trung tâm y tế, siêu thị, ngân hàng",Nơ Trang Long,Phường 11,Bình Thạnh,Not mentioned,Hẻm,254946
5 tỷ,Not mentioned in the text,"Near the intersection of Trường Chinh - Cộng Hòa, close to Etown and BigC supermarket",4,Not mentioned in the text,4,"Sổ hồng chính chủ, pháp lý chuẩn",Cộng Hòa,Not mentioned in the text,Not mentioned in the text,Not mentioned in the text,Hẻm xe hơi vào nhà,254945
2.550 tỷ,60m2 (4x15),"297 Tân Hòa Đông, phường Bình Trị Đông, quận Bình Tân",4,3,2,"Gần cửa hàng máy may Phước Thanh, gần thế giới xe điện Thắng Lợi, gần cửa hàng Điện thoại Thiên Quang, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, có các dịch vụ tiện ích xung quanh như cửa hàng tiện lợi, gần bách hóa xanh, các cửa hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Tân Hòa Đông,Bình Trị Đông,Bình Tân,1,nhà trong hẻm,254944
10 triệu/tháng,dt 4mx9.5m,"Điện Biên Phủ, Phường 22, Bình Thạnh",2,2,3,"ban công, đầy đủ nội thất",Điện Biên Phủ,Phường 22,Bình Thạnh,Not specified,hẻm xe hơi,254943
2.650 tỷ,60m2 (4x15),"704 Hương Lộ 2, phường Bình Trị Đông A, quận Bình Tân",4,3,2,"gần phòng khám mắt Quang Long, gần phòng khám nhi bác sĩ Tùng, gần sân bóng mini Hương Lộ 2, gần cửa hàng trang trí nội thất Anh Thơ, gần trường mần non Ong Vàng, gần cửa hàng điện máy xanh, gần chợ, gần bách hóa xanh, gần các cửa hàng buôn bán thời trang, gần các dịch vụ chăm sóc sức khỏe và làm đẹp",Hương Lộ 2,Bình Trị Đông A,Bình Tân,1,nhà trong hẻm,254942
1.59 tỷ,38m2 (4x9.5m),hẻm Huỳnh Tấn Phát – Phú Thuận - Quận 7,2,2,"1 trệt, 1 lầu","gần chợ, ngân hàng, trường học, UBND, cửa hàng tiện lợi",hẻm Huỳnh Tấn Phát,Phú Thuận,Quận 7,Not mentioned,Alley,254940
